zip,city,state_id,state_name,county_code,countyname,state,msa,msaname,fipst
36003,Autaugaville,AL,Alabama,1001,AUTAUGA,AL,5240,"MONTGOMERY, AL",1
36006,Billingsley,AL,Alabama,1001,AUTAUGA,AL,5240,"MONTGOMERY, AL",1
36051,Marbury,AL,Alabama,1001,AUTAUGA,AL,5240,"MONTGOMERY, AL",1
36066,Prattville,AL,Alabama,1001,AUTAUGA,AL,5240,"MONTGOMERY, AL",1
36067,Prattville,AL,Alabama,1001,AUTAUGA,AL,5240,"MONTGOMERY, AL",1
36749,Jones,AL,Alabama,1001,AUTAUGA,AL,5240,"MONTGOMERY, AL",1
36507,Bay Minette,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36511,Bon Secour,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36526,Daphne,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36527,Daphne,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36530,Elberta,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36532,Fairhope,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36535,Foley,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36542,Gulf Shores,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36549,Lillian,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36550,Little River,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36551,Loxley,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36555,Magnolia Springs,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36559,Montrose,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36561,Orange Beach,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36562,Perdido,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36564,Point Clear,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36567,Robertsdale,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36574,Seminole,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36576,Silverhill,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36578,Stapleton,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36579,Stockton,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36580,Summerdale,AL,Alabama,1003,BALDWIN,AL,5160,"MOBILE, AL",1
36016,Clayton,AL,Alabama,1005,BARBOUR,AL,1,ALABAMA,1
36017,Clio,AL,Alabama,1005,BARBOUR,AL,1,ALABAMA,1
36027,Eufaula,AL,Alabama,1005,BARBOUR,AL,1,ALABAMA,1
36048,Louisville,AL,Alabama,1005,BARBOUR,AL,1,ALABAMA,1
